    -0.02348     -0.00820      0.00968
     1.32546     -0.01107     -0.00404     -0.00879
     0.38422     -0.00673     -0.00829     -0.01865
     0.28268     -0.00784     -0.03560      0.01504
     1.99689     -0.01337     -0.00428     -0.01205
     0.24094     -0.01187     -0.00610     -0.01774
     0.04712     -0.01005      0.00007     -0.01848
     0.31504     -0.01179     -0.00569     -0.00561
     0.51456     -0.00384     -0.00947      0.01581
     1.55427     -0.01162     -0.00537     -0.01864
     0.09729     -0.01180     -0.00609     -0.01500
     0.08391     -0.01003     -0.00673     -0.01969
     0.16860     -0.02057     -0.00879     -0.03101
     0.76824     -0.00935      0.02246     -0.03392
     1.54143     -0.00675     -0.01366     -0.01036
     0.51709     -0.00355     -0.00681     -0.01402
     0.41824      0.00201     -0.01483      0.01746
     1.74981     -0.01299     -0.01914     -0.01225
     0.63081     -0.01388     -0.01155     -0.01329
     0.30343     -0.01357     -0.00258      0.01497
     1.47041     -0.00104      0.00460     -0.00297
     0.95566     -0.02048     -0.02252     -0.00811
     0.93058     -0.00120     -0.00082     -0.01283
     0.59149     -0.01199     -0.00601     -0.01580
     0.04711     -0.01156     -0.00555     -0.02095
     0.19646     -0.01221     -0.01032     -0.02045
     0.25356     -0.01199      0.00678     -0.01810
     0.60021     -0.02006     -0.01167     -0.00636
     0.65052     -0.01073      0.00669     -0.00810
     0.71808     -0.03872      0.00596     -0.02850
     1.44599     -0.01856     -0.01345     -0.02070
     0.47840     -0.04084     -0.00220      0.00600
     1.69247     -0.01212     -0.00837      0.01511
     1.46940      0.00178     -0.01006     -0.01209
     0.70069     -0.00719     -0.00933     -0.01823
     0.27944     -0.01749     -0.00018      0.00769
     1.18402     -0.01165     -0.00103     -0.01297
     0.29653     -0.01903      0.00056     -0.03449
     0.92637     -0.02430      0.00967     -0.01298
     0.93414     -0.01084     -0.00313     -0.01226
     0.25920     -0.01911     -0.00106     -0.00680
     0.60638     -0.01197     -0.00607     -0.02036
     0.16486     -0.01232     -0.00963     -0.00825
     0.42254     -0.03135     -0.03747     -0.01059
     1.70968     -0.01289     -0.00497     -0.00995
     0.32082     -0.01019     -0.00711     -0.01278
     0.20979     -0.01498     -0.00800     -0.00557
     0.53731     -0.03683      0.02230     -0.01622
     1.73225     -0.01438     -0.00501     -0.03169
     0.69523     -0.01233     -0.00380     -0.05956
     1.96602     -0.00004     -0.01870      0.01360
     1.61043     -0.01876     -0.01209     -0.02819
     0.66289     -0.02814     -0.01887     -0.02930
     1.09883     -0.00834     -0.00210     -0.04385
     1.27131      0.00026     -0.00877     -0.01215
     0.62247     -0.01197     -0.00594     -0.01626
     0.02860     -0.00130     -0.00909     -0.01032
     0.59719     -0.01041     -0.01176     -0.00948
     0.42961     -0.01504     -0.00800     -0.01938
     0.19538     -0.01334     -0.00716     -0.01986
     0.15728     -0.01939     -0.01529     -0.01079
     0.59953     -0.00660      0.00049     -0.02880
     0.68323     -0.01219     -0.00605     -0.00244
     0.65946     -0.01174     -0.00618     -0.00401
     0.58756      0.01488     -0.01215     -0.03601
     1.55105     -0.01863      0.00385     -0.06420
     2.24356     -0.01147     -0.00738     -0.01661
     0.06400     -0.03348     -0.02444     -0.00474
     1.40255     -0.00768     -0.01787     -0.01993
     0.59316     -0.02332     -0.00075     -0.02207
     0.61926     -0.01441     -0.00548     -0.01581
     0.11579     -0.01447      0.00666     -0.01857
     0.60639     -0.03841     -0.03223     -0.03591
     1.91237     -0.01450     -0.00434     -0.00396
     0.60514     -0.01477     -0.00864     -0.01143
     0.29506     -0.01328     -0.00176     -0.02518
     0.43994      0.00315      0.00492     -0.02085
     0.89145     -0.01237      0.00384     -0.01187
     0.51419     -0.00956     -0.00124     -0.03785
     1.00258     -0.01553     -0.00505     -0.01065
     0.32535     -0.01263     -0.00657     -0.02036
     0.16657     -0.02082      0.00766     -0.01225
     0.77889     -0.01583      0.02591     -0.05374
     2.25216     -0.01259     -0.00608     -0.01379
