date	minute	lat	lon	depth	mag
03-Dec-1988	901	48.092	-71.174	28.7	1.1
04-Dec-1988	811	48.098	-71.185	25	1.4
05-Dec-1988	1190	47.366	-70.386	5.2	0.4
08-Dec-1988	1316	48.091	-71.152	27.4	0
08-Dec-1988	1295	48.099	-71.153	26.4	0
08-Dec-1988	1203	48.103	-71.188	23.1	0
08-Dec-1988	889	48.12	-71.213	28.6	1.3
09-Dec-1988	1051	48.116	-71.17	29.5	1.4
09-Dec-1988	363	48.036	-70.962	20.9	0
09-Dec-1988	355	48.114	-71.19	27.7	0
11-Dec-1988	1340	48.003	-71.236	18.4	1.8
11-Dec-1988	870	48.001	-71.164	26.8	2.8
11-Dec-1988	509	48.089	-71.191	28	1.9
11-Dec-1988	267	48.066	-70.963	22.3	2.1
12-Dec-1988	358	47.444	-70.176	8	0.6
13-Dec-1988	359	47.586	-70.012	9.6	-0.4
16-Dec-1988	1135	48.288	-69.6	18	2.5
17-Dec-1988	170	47.562	-69.996	7.7	0.5
18-Dec-1988	1086	47.224	-70.643	18	2.4
18-Dec-1988	22	48.101	-71.196	26.7	0
22-Dec-1988	17	47.496	-69.969	8.5	1.3
25-Dec-1988	1272	48.088	-71.243	33.7	2.1
01-Jan-1989	492	47.548	-70.378	4.1	0.1
02-Jan-1989	1184	47.655	-70.21	12.4	0
02-Jan-1989	162	47.17	-70.425	9.5	2
03-Jan-1989	530	48.069	-71.162	29.1	1.3
06-Jan-1989	61	47.521	-69.978	11.1	0.4
09-Jan-1989	172	48.105	-71.154	25.6	1.8
10-Jan-1989	454	47.639	-70.164	11.7	0.1
11-Jan-1989	1413	47.734	-70.087	8.7	0.4
11-Jan-1989	120	48.02	-71.151	27.1	2.5
16-Jan-1989	491	48.097	-71.196	27.5	1.7
17-Jan-1989	549	47.491	-70.113	9.1	-0.3
17-Jan-1989	112	47.496	-70.121	7.6	0.3
19-Jan-1989	1407	48.063	-71.011	24.1	1.9
19-Jan-1989	1312	48.063	-71.009	21	1.7
19-Jan-1989	1296	48.063	-71.008	24.8	3.6
20-Jan-1989	1044	48.08	-71.018	23.3	0
22-Jan-1989	1090	47.486	-69.941	14.1	0
22-Jan-1989	1044	48.055	-71.019	24.8	1.6
22-Jan-1989	383	47.753	-70.139	8.2	-0.4
24-Jan-1989	87	48.112	-71.316	26.7	1.3
