year	mon	day	time	lat	lon	dep	mag
2005	3	6	6:17:49	47.753	-69.732	13.3	5.4
2006	4	7	8:31:41	47.379	-70.463	24.5	4.1
2003	6	13	11:34:40	47.703	-70.087	11.1	4.1
2013	7	11	20:16:07	47.81	-70.049	14.9	4
2001	5	22	0:33:29	47.654	-69.92	11.4	3.5
2008	1	3	9:37:55	47.382	-70.312	13.5	3.4
2011	11	29	17:02:25	47.547	-70.25	14	3.4
2007	9	27	11:31:08	47.411	-70.371	14.5	3.3
2004	5	29	21:21:16	47.441	-70.169	6.5	3.3
2004	4	10	5:23:18	47.825	-69.814	27.5	3.2
2009	4	12	6:48:26	47.521	-70.056	12.6	3.2
2002	5	14	7:26:39	47.655	-69.967	14.1	3.1
2002	6	12	17:14:18	47.51	-70.018	7.8	3.1
2001	5	22	0:36:47	47.653	-69.917	10.9	3.1
2011	12	8	7:51:58	47.642	-69.879	14.7	3.1
2010	5	5	22:19:18	47.576	-70.088	19.1	3.1
2003	10	11	0:10:02	47.535	-69.858	23.2	3.1
2016	7	29	19:55:21	47.428	-70.116	19.4	3
2004	5	24	12:18:43	47.637	-70.185	13.6	3
2014	8	2	18:38:40	47.591	-70.182	14.8	3
2010	10	7	23:10:53	47.408	-70.33	14	3
2010	10	28	23:06:09	47.426	-70.478	8.4	3
2006	10	31	2:41:41	47.615	-70.18	14.4	3
2003	8	17	6:00:03	47.555	-70.044	8.5	2.9
2009	6	18	2:47:52	47.544	-69.891	15.8	2.9
2012	3	25	11:30:49	47.253	-70.268	24.8	2.9
2001	10	3	5:29:20	47.4	-70.479	9.9	2.9
2015	7	12	4:17:38	47.484	-70.07	10.9	2.8
2008	6	14	7:10:34	47.807	-69.733	21.9	2.8
2008	11	10	6:12:57	47.435	-70.41	5.3	2.8
2011	7	13	4:59:02	47.522	-69.936	13.4	2.8
2001	6	10	15:59:32	47.286	-70.209	16.8	2.8
2010	9	4	22:13:53	47.47	-70.386	5.4	2.8
2013	7	11	20:58:10	47.811	-70.048	14.4	2.8
2011	9	27	16:47:20	47.226	-70.341	9.5	2.8
2011	10	26	8:39:01	47.503	-70.061	12.6	2.7
2011	12	16	0:52:36	47.685	-69.909	9.1	2.7
2006	6	8	9:37:59	47.59	-69.984	7.9	2.7
2006	12	25	18:13:14	47.517	-70.017	14.8	2.7
2016	5	12	23:31:09	47.527	-70.049	20.6	2.7
2004	2	19	16:12:26	47.391	-70.508	5.5	2.7
2010	10	18	1:58:21	47.705	-69.963	24.4	2.7
2015	9	5	7:01:17	47.713	-70.083	13.9	2.7
2002	6	20	6:10:08	47.445	-70.049	7.3	2.7
2013	11	15	0:13:33	47.617	-69.821	17.4	2.7
2003	6	9	19:32:55	47.583	-69.925	17.1	2.7
2009	4	28	13:07:13	47.786	-69.887	19.4	2.6
2016	9	20	15:12:06	47.8	-69.837	23.2	2.6
2002	12	18	2:32:12	47.601	-69.975	15.8	2.6
2016	5	28	12:10:38	47.566	-70.075	24.4	2.6
2004	7	4	5:10:04	47.227	-70.323	14.2	2.6
2014	2	28	20:28:36	47.49	-70.028	8.1	2.6
2002	12	11	3:18:08	47.308	-70.441	6.4	2.6
2005	10	24	21:10:43	47.542	-70.268	13.2	2.6
2002	1	19	1:18:05	47.479	-70.107	22.9	2.6
2015	6	17	11:12:51	47.365	-70.268	9.9	2.6
2009	3	24	1:36:56	47.711	-70.276	6.1	2.6
2009	11	28	11:41:31	47.421	-70.398	18.5	2.6
2014	1	14	19:23:04	47.572	-70.002	14	2.6
2017	3	25	8:36:59	47.464	-70.121	10.9	2.5
2001	12	13	7:56:48	47.231	-70.534	26	2.5
2002	8	17	6:34:23	47.327	-70.514	11.9	2.5
2001	11	11	13:22:22	47.862	-69.927	25.9	2.5
2013	9	2	5:15:15	47.791	-69.833	24.2	2.5
2008	4	26	8:16:17	47.809	-69.809	23	2.5
2005	11	14	4:55:16	47.403	-70.194	6.7	2.5
2013	10	9	19:24:12	47.562	-70.041	11	2.5
2006	2	4	4:39:48	47.493	-69.98	7.2	2.5
2017	5	23	21:20:24	47.408	-70.269	10.4	2.5
2011	7	9	5:29:40	47.475	-70.547	10.6	2.5
2016	2	4	12:38:28	47.219	-70.365	9.5	2.5
2014	7	3	15:02:07	47.574	-69.847	13.2	2.5
2016	10	27	23:26:03	47.493	-70.025	14.5	2.5
2006	7	21	16:17:47	47.347	-70.341	24.3	2.5
2003	6	18	18:54:56	47.451	-70.075	9.6	2.5
2012	5	15	4:41:26	47.403	-70.38	8.4	2.5
2006	8	17	13:29:30	47.513	-70.299	10.8	2.5
2011	12	20	21:36:08	47.636	-70.186	12.4	2.5
2003	12	19	12:40:17	47.473	-70.133	12.9	2.5
2005	8	31	23:37:49	47.459	-70.132	14.8	2.5
2001	9	8	5:31:21	47.792	-69.861	23	2.5
2001	9	21	4:43:04	47.688	-70.097	4.8	2.5
2002	1	31	20:51:54	47.35	-70.398	11.9	2.5
2016	2	16	5:13:41	47.565	-69.96	14.1	2.5
2013	10	4	13:13:02	47.656	-69.892	12.3	2.5
2001	6	19	5:21:54	47.694	-70.105	11.3	2.5
2006	11	1	9:29:36	47.612	-70.172	13.9	2.4
2009	3	12	22:20:37	47.416	-70.33	12.2	2.4
2015	10	31	4:18:20	47.387	-70.122	17.1	2.4
2011	1	2	15:55:34	47.661	-69.807	11.6	2.4
2014	9	26	2:36:36	47.232	-70.39	7.7	2.4
2013	2	24	15:52:29	47.408	-70.467	7.5	2.4
2010	9	30	3:45:53	47.494	-70.137	7.7	2.4
2014	7	22	6:05:20	47.35	-70.582	12.5	2.4
2012	6	18	9:37:54	47.587	-70.175	12	2.4
2014	3	22	4:54:03	47.241	-70.581	7.9	2.4
2012	11	29	19:20:38	47.791	-69.953	20.4	2.4
2011	8	16	14:08:28	47.613	-70.07	18.7	2.4
2011	10	6	13:50:37	47.513	-70.068	11.6	2.4
2010	7	23	15:28:16	47.547	-70.253	13.1	2.4
2000	12	1	2:50:16	47.524	-70.213	13.3	2.4
2013	7	16	5:04:02	47.812	-70.047	15	2.4
2001	12	5	18:48:27	47.55	-70.254	9.2	2.4
2007	6	9	9:27:48	47.576	-70.322	11	2.4
2015	8	13	11:32:35	47.311	-70.403	7.2	2.4
2001	10	26	12:57:41	47.392	-70.112	17.5	2.4
2009	9	29	23:46:27	47.718	-70.26	0	2.4
2000	12	4	6:44:54	47.4	-70.174	10.3	2.4
2008	7	4	2:50:42	47.757	-69.762	20.6	2.4
2008	7	3	11:04:57	47.418	-70.34	10.9	2.4
2005	10	3	7:21:44	47.564	-70.014	14.7	2.4
2004	4	25	20:41:17	47.623	-70.177	12.5	2.4
2004	2	4	15:01:53	47.664	-70.117	6.5	2.4
2004	11	5	7:11:34	47.384	-70.422	5.1	2.4
2004	12	15	19:17:26	47.596	-70.029	26.6	2.4
2005	6	1	18:10:56	47.575	-70.333	9.9	2.4
2005	4	12	14:48:24	47.716	-70.07	9	2.4
2017	6	25	13:28:50	47.609	-70.187	2.8	2.4
2003	11	20	19:54:47	47.468	-70.11	11	2.4
2002	12	21	8:30:15	47.511	-70.206	13.5	2.4
2002	11	24	16:24:23	47.508	-69.96	12.3	2.4
2002	5	6	5:51:05	47.225	-70.556	26.8	2.4
2003	8	25	8:53:30	47.626	-69.943	15.5	2.4
2016	11	20	14:20:14	47.479	-70.088	14.1	2.4
2003	6	12	13:07:40	47.808	-69.749	24.3	2.4
2002	4	4	22:37:34	47.212	-70.404	11.4	2.4
2006	6	9	14:51:32	47.51	-70.19	18.1	2.4
2006	6	14	10:42:55	47.796	-69.951	19.8	2.4
2015	5	2	6:43:51	47.477	-70.305	13.1	2.3
2004	8	9	16:47:22	47.718	-69.872	17.2	2.3
2009	6	6	17:51:13	47.584	-70.278	10.8	2.3
2014	7	16	16:40:30	47.677	-69.956	25.3	2.3
2013	4	9	20:14:11	47.812	-69.803	23.7	2.3
2012	9	12	9:55:08	47.593	-70.171	9.1	2.3
2001	10	25	8:11:59	47.339	-70.198	23.6	2.3
2002	11	22	21:19:03	47.557	-70.292	8.1	2.3
2003	12	5	4:59:20	47.432	-70.125	8.6	2.3
2009	9	14	22:09:22	47.604	-70.104	24.4	2.3
2008	7	25	1:40:37	47.548	-69.922	14.2	2.3
2016	8	20	19:53:40	47.6	-70.375	16	2.3
2004	4	22	10:03:03	47.321	-70.305	13.5	2.3
2015	1	1	16:40:00	47.486	-70.138	20.1	2.3
2001	7	5	10:32:55	47.241	-70.339	8.6	2.3
2010	8	27	9:43:54	47.67	-69.902	6.5	2.3
2015	1	25	10:01:31	47.597	-70.198	7.5	2.3
2011	2	9	14:25:05	47.447	-70.374	6.9	2.3
2002	1	15	4:31:49	47.55	-70.031	8.5	2.3
2009	12	1	1:44:41	47.651	-69.874	14.4	2.3
2009	12	5	23:31:22	47.546	-70.031	13.4	2.3
2001	8	19	17:20:02	47.433	-70.156	12.1	2.3
2000	12	12	13:48:24	47.574	-70.199	16	2.3
2010	2	27	16:36:47	47.603	-70.153	14.4	2.3
2002	10	5	9:34:35	47.453	-70.39	21.9	2.3
2012	2	11	2:57:37	47.704	-70.015	17.2	2.3
2013	7	11	21:00:29	47.813	-70.05	14.7	2.3
2014	3	28	8:58:55	47.52	-70.146	17.5	2.3
2005	3	11	0:36:23	47.762	-69.732	12.7	2.3
2008	1	7	1:38:52	47.322	-70.323	11.4	2.3
2005	8	6	1:17:58	47.563	-70.056	11.2	2.3
2006	9	15	4:42:08	47.46	-70.034	10.6	2.3
