    -0.08949     -0.01983      0.16456
     1.15670     -0.00447      0.00864      0.03800
     0.33530      0.02532     -0.02047     -0.02963
     0.24669      0.01767     -0.20766      0.20132
     1.74203     -0.02023      0.00698      0.01565
     0.21026     -0.00993     -0.00547     -0.02339
     0.04113      0.00256      0.03683     -0.02843
     0.27493     -0.00937     -0.00263      0.05979
     0.44904      0.04510     -0.02855      0.20661
     1.35637     -0.00822     -0.00049     -0.02950
     0.08490     -0.00947     -0.00543     -0.00459
     0.07323      0.00269     -0.00981     -0.03670
     0.14714     -0.06959     -0.02389     -0.11430
     0.67043      0.00730      0.19030     -0.13428
     1.34517      0.02514     -0.05730      0.02724
     0.45125      0.04706     -0.01031      0.00216
     0.36498      0.08522     -0.06529      0.21788
     1.52702     -0.01761     -0.09482      0.01425
     0.55049     -0.02375     -0.04281      0.00716
     0.26479     -0.02160      0.01863      0.20081
     1.28319      0.06426      0.06787      0.07789
     0.83398     -0.06892     -0.11800      0.04264
     0.81209      0.06316      0.03070      0.01031
     0.51618     -0.01080     -0.00482     -0.01004
     0.04111     -0.00783     -0.00170     -0.04539
     0.17145     -0.01229     -0.03442     -0.04194
     0.22127     -0.01074      0.08280     -0.02582
     0.52379     -0.06606     -0.04364      0.05465
     0.56769     -0.00214      0.08222      0.04270
     0.62665     -0.19401      0.07722     -0.09710
     1.26188     -0.05580     -0.05585     -0.04363
     0.41749     -0.20850      0.02125      0.13932
     1.47697     -0.01163     -0.02105      0.20177
     1.28230      0.08362     -0.03259      0.01537
     0.61147      0.02211     -0.02764     -0.02674
     0.24386     -0.04848      0.03508      0.15095
     1.03326     -0.00843      0.02927      0.00932
     0.25877     -0.05900      0.04017     -0.13815
     0.80842     -0.09511      0.10261      0.00925
     0.81520     -0.00287      0.01491      0.01421
     0.22619     -0.05955      0.02910      0.05165
     0.52918     -0.01062     -0.00523     -0.04128
     0.14387     -0.01306     -0.02966      0.04168
     0.36874     -0.14349     -0.22050      0.02566
     1.49200     -0.01696      0.00228      0.03005
     0.27997      0.00154     -0.01242      0.01062
     0.18308     -0.03123     -0.01847      0.06005
     0.46890     -0.18100      0.18918     -0.01295
     1.51170     -0.02717      0.00199     -0.11900
     0.60671     -0.01308      0.01028     -0.31002
     1.71516      0.07111     -0.09182      0.19147
     1.40538     -0.05718     -0.04650     -0.09500
     0.57849     -0.12147     -0.09298     -0.10258
     0.95892      0.01427      0.02195     -0.20232
     1.10945      0.07322     -0.02379      0.01493
     0.54321     -0.01065     -0.00440     -0.01325
     0.02496      0.06247     -0.02598      0.02748
     0.52115      0.00009     -0.04428      0.03324
     0.37491     -0.03165     -0.01851     -0.03463
     0.17051     -0.02000     -0.01273     -0.03791
     0.13725     -0.06148     -0.06845      0.02428
     0.52319      0.02619      0.03970     -0.09920
     0.59624     -0.01212     -0.00515      0.08152
     0.57549     -0.00905     -0.00604      0.07075
     0.51275      0.17337     -0.04694     -0.14857
     1.35356     -0.05627      0.06270     -0.34179
     1.95731     -0.00717     -0.01423     -0.01561
     0.05585     -0.15809     -0.13119      0.06574
     1.22397      0.01880     -0.08616     -0.03836
     0.51763     -0.08841      0.03119     -0.05305
     0.54042     -0.02734     -0.00125     -0.01013
     0.10105     -0.02777      0.08199     -0.02905
     0.52918     -0.19182     -0.18457     -0.14791
     1.66888     -0.02798      0.00662      0.07111
     0.52809     -0.02983     -0.02291      0.01989
     0.25749     -0.01958      0.02427     -0.07438
     0.38392      0.09298      0.07009     -0.04464
     0.77795     -0.01340      0.06265      0.01688
     0.44872      0.00585      0.02782     -0.16119
     0.87493     -0.03506      0.00172      0.02526
     0.28392     -0.01516     -0.00871     -0.04131
     0.14536     -0.07127      0.08881      0.01427
     0.67972     -0.03710      0.21391     -0.27012
     1.96473     -0.01490     -0.00537      0.00371
     0.12107      0.07864      0.04806     -0.09078
     0.75591     -0.03045     -0.01206      0.00263
     0.15970     -0.01182     -0.00608     -0.01272
     0.02386     -0.01151      0.08862      0.07662
     0.77918      0.00293      0.04108      0.01971
     0.36069      0.07643      0.04482     -0.00658
     0.60163      0.09236      0.08305      0.01388
     0.82455     -0.13211      0.04777      0.02985
     0.81678      0.02877     -0.09301      0.04897
     0.68109     -0.05235      0.02150      0.15919
     1.06900      0.23457     -0.08972      0.00992
     1.53305      0.17137     -0.24430      0.10263
     1.89367     -0.01616     -0.00846     -0.02712
     0.06616      0.01936      0.01817     -0.11838
     0.63892      0.06529     -0.01143     -0.01698
     0.45463     -0.02729     -0.09677     -0.07532
     0.63742     -0.01131     -0.07231      0.02763
     0.46618      0.03112     -0.02295     -0.07071
     0.41665     -0.00864     -0.00880     -0.14273
     0.73773     -0.06508      0.10690     -0.12904
     0.98296     -0.01254     -0.00611     -0.01348
     0.01941     -0.00722      0.00971     -0.11303
     0.57182      0.03136     -0.06490      0.16336
     1.13802      0.01075      0.01423     -0.01011
     0.18406      0.00277     -0.05434     -0.35832
     2.01752      0.01561     -0.05818      0.16154
     1.09942      0.09210     -0.02844     -0.31379
     1.84387     -0.01571      0.08145     -0.05768
     0.56664     -0.07170     -0.00963     -0.03094
     0.35863      0.01822     -0.17279      0.10687
     1.22742     -0.04345      0.06809     -0.10054
     0.68047      0.02776      0.07842     -0.10980
     0.77248     -0.03271     -0.00366     -0.00563
     0.13745     -0.04293     -0.01662      0.00365
     0.22444      0.08073      0.02038      0.12612
     1.00990     -0.01089     -0.00469     -0.01731
     0.01214     -0.01022     -0.01106     -0.00991
     0.05055      0.02111      0.00908      0.04992
     0.44551     -0.04154      0.01300      0.03148
     0.34920     -0.01722      0.01025      0.01475
     0.21027      0.03180      0.01517     -0.05543
     0.36496     -0.02814      0.05656      0.02030
     0.43687     -0.34931      0.20113     -0.00559
     2.31317     -0.00606     -0.00964      0.00008
     0.10692      0.01583      0.02677     -0.18351
     1.00839     -0.01116     -0.05009      0.02916
     0.37194     -0.00040      0.00343     -0.01278
     0.09220      0.00087      0.03513     -0.01766
     0.25388      0.06543     -0.06677     -0.06921
     0.65298     -0.15370     -0.06320      0.14159
     1.28722     -0.24869      0.03075      0.23357
     2.02764      0.01148      0.00712      0.03014
     0.31740     -0.05358     -0.01403     -0.03337
     0.26498     -0.15066     -0.22671      0.09053
     1.64857      0.15132      0.00408     -0.22946
     1.57162     -0.02480     -0.00788      0.04886
     0.39138      0.06257     -0.02803     -0.02956
     0.46206      0.26318      0.04869     -0.06312
     1.66604      0.08830     -0.10440      0.03854
     0.88397      0.00437      0.07629      0.15732
     1.13197     -0.14801     -0.05439      0.21898
     1.61752     -0.00824     -0.00842     -0.04523
     0.16867     -0.04012     -0.00720     -0.02883
     0.17811      0.01290     -0.02043      0.01232
     0.23989     -0.01830      0.00131     -0.02690
     0.08204     -0.00592      0.04296      0.17814
     1.17737     -0.06604     -0.21590      0.01137
     1.27800     -0.00063      0.05044      0.00801
     0.36829     -0.01965      0.00969     -0.12467
     0.63990     -0.04782     -0.02304      0.10490
     0.74871     -0.00293     -0.02753     -0.01075
     0.14061     -0.14941     -0.00837      0.26112
     1.81436      0.01660      0.05141     -0.00427
     0.38415     -0.01027     -0.00521     -0.01269
     0.02708     -0.07721      0.05366      0.09969
     0.85587      0.04102     -0.04320     -0.28021
     1.58810     -0.02441      0.09103      0.02556
     0.62497     -0.12503     -0.11315     -0.06311
     0.94960      0.07272     -0.24748      0.03489
     1.52758     -0.01042     -0.00538     -0.01425
     0.01876      0.01098     -0.00326      0.08428
     0.60723      0.14021     -0.10998     -0.02172
     1.07974     -0.03090     -0.00223     -0.01771
     0.11208     -0.00482     -0.02408      0.07711
     0.56114     -0.08047     -0.04026     -0.23815
     1.37072     -0.06125      0.04312      0.00836
     0.43300      0.02903     -0.06124     -0.07734
     0.53640     -0.00888     -0.00522     -0.01506
     0.02261     -0.02546     -0.00646     -0.11492
     0.57973     -0.00239     -0.00408      0.01857
     0.21512     -0.02691      0.02740     -0.00181
     0.23195     -0.03466      0.03824     -0.09285
     0.53225      0.00118      0.01490     -0.02257
     0.15021      0.00493     -0.03052     -0.00874
     0.18033     -0.00596     -0.00275     -0.08551
     0.40452     -0.11157      0.00876     -0.03883
     0.60228     -0.01113     -0.10322     -0.00440
     0.57250     -0.05198     -0.12722     -0.03011
     0.74975     -0.03741      0.03334     -0.26790
     1.49548     -0.12334     -0.07360     -0.24030
     1.51360     -0.11021      0.05087     -0.16172
     1.07738      0.00255      0.05991     -0.30083
     1.70479     -0.02266      0.00852     -0.00669
     0.12117      0.04252      0.06744      0.03881
     0.62800     -0.00922      0.06353      0.13860
     0.99713     -0.00396     -0.01102     -0.02449
     0.07182      0.03984      0.03880     -0.01438
     0.40304      0.02198      0.16356     -0.03988
     1.02277      0.00435     -0.02041     -0.20700
     1.12087     -0.07830      0.05070      0.10514
     0.87756      0.01979      0.00141      0.05559
     0.46531     -0.00979      0.01367      0.05794
     0.45286      0.00946     -0.00459      0.00124
     0.16521     -0.01209     -0.00314     -0.01649
     0.01809     -0.02728      0.11214      0.01354
     0.72064     -0.02019      0.00015     -0.00922
     0.07438     -0.01046     -0.00549     -0.01196
     0.03026     -0.00614      0.09586     -0.17842
     1.11969      0.00149     -0.02063     -0.01317
     0.11827     -0.00773     -0.10555     -0.00306
     0.58761     -0.01171     -0.00613     -0.01461
     0.01304      0.02295     -0.02085     -0.12477
     0.67031      0.06617     -0.08004     -0.07859
     0.72677     -0.00375     -0.00533     -0.03676
     0.12713     -0.00929     -0.00661      0.08688
     0.60705     -0.15667     -0.17335     -0.23868
     1.83302      0.02021     -0.11916      0.09132
     0.93471     -0.15015      0.12051      0.07286
     1.21566      0.00879      0.02767     -0.01412
     0.23385     -0.08520      0.24021     -0.09145
     1.56670      0.06555     -0.02651     -0.17301
     1.02845     -0.05298      0.01386     -0.04402
     0.31020     -0.03458      0.00176     -0.02697
     0.15131     -0.01832      0.04182     -0.02695
     0.28963     -0.00841     -0.01177     -0.05231
     0.21167     -0.04577      0.02917     -0.03157
     0.29836     -0.10151      0.08624     -0.01910
     0.75260      0.03192      0.04768     -0.02941
     0.41434     -0.00756      0.02371      0.03070
     0.32964     -0.03540      0.04880     -0.40265
     2.27358     -0.01518      0.01770     -0.04327
     0.20962     -0.03883      0.02026      0.10460
     0.74377      0.18482      0.10398     -0.04329
     1.33058      0.03521     -0.02466      0.03122
     0.40943     -0.28601     -0.07040     -0.05530
     1.66171     -0.07074     -0.01286      0.14311
     0.99748     -0.00583     -0.00865     -0.13512
     0.69390     -0.01446     -0.00348     -0.03195
     0.09118      0.01075      0.01056      0.02494
     0.29554     -0.04982      0.03829     -0.12701
     0.72993      0.06534      0.00284     -0.01586
