    -0.01651     -0.00697     -0.00667
     1.34328     -0.01177     -0.00538     -0.01373
     0.38938     -0.01011     -0.00700     -0.01750
     0.28648     -0.01053     -0.01743     -0.00463
     2.02380     -0.01265     -0.00547     -0.01497
     0.24418     -0.01207     -0.00617     -0.01715
     0.04776     -0.01138     -0.00381     -0.01743
     0.31927     -0.01204     -0.00601     -0.01251
     0.52148     -0.00901     -0.00745     -0.00433
     1.57516     -0.01198     -0.00589     -0.01749
     0.09860     -0.01205     -0.00616     -0.01610
     0.08504     -0.01137     -0.00641     -0.01789
     0.17087     -0.01540     -0.00719     -0.02221
     0.77857     -0.01111      0.00474     -0.02333
     1.56215     -0.01012     -0.00905     -0.01433
     0.52404     -0.00890     -0.00644     -0.01572
     0.42386     -0.00677     -0.00950     -0.00370
     1.77334     -0.01250     -0.01115     -0.01505
     0.63929     -0.01284     -0.00825     -0.01545
     0.30750     -0.01272     -0.00482     -0.00465
     1.49017     -0.00794     -0.00208     -0.01150
     0.96851     -0.01536     -0.01244     -0.01347
     0.94309     -0.00800     -0.00415     -0.01527
     0.59944     -0.01212     -0.00613     -0.01640
     0.04774     -0.01196     -0.00596     -0.01837
     0.19910     -0.01220     -0.00778     -0.01818
     0.25696     -0.01212     -0.00125     -0.01728
     0.60828     -0.01520     -0.00829     -0.01280
     0.65926     -0.01164     -0.00128     -0.01346
     0.72773     -0.02233     -0.00156     -0.02126
     1.46543     -0.01463     -0.00897     -0.01828
     0.48483     -0.02314     -0.00468     -0.00808
     1.71522     -0.01217     -0.00703     -0.00460
     1.48915     -0.00686     -0.00768     -0.01499
     0.71010     -0.01029     -0.00740     -0.01733
     0.28320     -0.01422     -0.00391     -0.00743
     1.19994     -0.01199     -0.00423     -0.01533
     0.30051     -0.01481     -0.00362     -0.02354
     0.93882     -0.01682     -0.00014     -0.01533
     0.94670     -0.01168     -0.00503     -0.01505
     0.26268     -0.01484     -0.00424     -0.01297
     0.61453     -0.01211     -0.00615     -0.01815
     0.16707     -0.01225     -0.00751     -0.01352
     0.42822     -0.01952     -0.01815     -0.01441
     1.73266     -0.01246     -0.00573     -0.01417
     0.32514     -0.01143     -0.00655     -0.01525
     0.21261     -0.01326     -0.00689     -0.01250
     0.54453     -0.02161      0.00468     -0.01657
     1.75554     -0.01303     -0.00575     -0.02248
     0.70457     -0.01225     -0.00529     -0.03312
     1.99250     -0.00756     -0.01098     -0.00517
     1.63208     -0.01471     -0.00845     -0.02114
     0.67180     -0.01829     -0.01104     -0.02156
     1.11360     -0.01072     -0.00464     -0.02712
     1.28840     -0.00744     -0.00719     -0.01501
     0.63083     -0.01211     -0.00611     -0.01658
     0.02898     -0.00804     -0.00731     -0.01431
     0.60522     -0.01151     -0.00833     -0.01399
     0.43539     -0.01328     -0.00689     -0.01777
     0.19801     -0.01263     -0.00657     -0.01796
     0.15939     -0.01495     -0.00968     -0.01449
     0.60759     -0.01006     -0.00365     -0.02137
     0.69242     -0.01219     -0.00615     -0.01130
     0.66832     -0.01202     -0.00620     -0.01190
     0.59546     -0.00186     -0.00848     -0.02412
     1.57190     -0.01465     -0.00237     -0.03489
     2.27378     -0.01192     -0.00665     -0.01671
     0.06486     -0.02033     -0.01317     -0.01218
     1.42140     -0.01047     -0.01066     -0.01798
     0.60113     -0.01645     -0.00412     -0.01880
     0.62759     -0.01304     -0.00593     -0.01641
     0.11735     -0.01307     -0.00129     -0.01746
     0.61454     -0.02221     -0.01615     -0.02409
     1.93808     -0.01308     -0.00549     -0.01188
     0.61328     -0.01318     -0.00714     -0.01474
     0.29903     -0.01261     -0.00451     -0.01999
     0.44585     -0.00634     -0.00196     -0.01833
     0.90343     -0.01227     -0.00237     -0.01490
     0.52110     -0.01119     -0.00431     -0.02483
     1.01606     -0.01347     -0.00577     -0.01444
     0.32972     -0.01236     -0.00635     -0.01815
     0.16881     -0.01549     -0.00091     -0.01505
     0.78936     -0.01359      0.00606     -0.03090
     2.28251     -0.01235     -0.00616     -0.01564
     0.14060     -0.00714     -0.00318     -0.02090
     0.87784     -0.01322     -0.00653     -0.01570
     0.18546     -0.01218     -0.00620     -0.01655
     0.02771     -0.01216     -0.00092     -0.01158
     0.90486     -0.01136     -0.00357     -0.01475
     0.41887     -0.00726     -0.00336     -0.01621
     0.69868     -0.00637     -0.00123     -0.01507
     0.95756     -0.01888     -0.00320     -0.01418
     0.94853     -0.00992     -0.01105     -0.01312
     0.79095     -0.01444     -0.00466     -0.00697
     1.24143      0.00155     -0.01086     -0.01529
     1.78033     -0.00197     -0.01948     -0.01013
     2.19913     -0.01242     -0.00633     -0.01736
     0.07684     -0.01044     -0.00485     -0.02244
     0.74198     -0.00788     -0.00650     -0.01679
     0.52797     -0.01304     -0.01125     -0.02004
     0.74024     -0.01215     -0.00989     -0.01430
     0.54138     -0.00978     -0.00714     -0.01979
     0.48386     -0.01200     -0.00635     -0.02380
     0.85673     -0.01515      0.00010     -0.02304
     1.14151     -0.01222     -0.00620     -0.01660
     0.02254     -0.01192     -0.00532     -0.02214
     0.66406     -0.00977     -0.00948     -0.00674
     1.32159     -0.01092     -0.00507     -0.01641
     0.21375     -0.01136     -0.00889     -0.03581
     2.34351     -0.01065     -0.00910     -0.00684
     1.27676     -0.00639     -0.00745     -0.03333
     2.14187     -0.01239     -0.00132     -0.01906
     0.65804     -0.01552     -0.00640     -0.01757
     0.41648     -0.01050     -0.01549     -0.00989
     1.42541     -0.01394     -0.00207     -0.02145
     0.79023     -0.00997     -0.00149     -0.02196
     0.89708     -0.01334     -0.00607     -0.01616
     0.15962     -0.01391     -0.00679     -0.01564
     0.26064     -0.00702     -0.00473     -0.00882
     1.17280     -0.01213     -0.00612     -0.01681
     0.01410     -0.01209     -0.00648     -0.01640
     0.05871     -0.01034     -0.00536     -0.01306
     0.51737     -0.01383     -0.00514     -0.01409
     0.40553     -0.01248     -0.00529     -0.01502
     0.24418     -0.00975     -0.00502     -0.01893
     0.42382     -0.01309     -0.00271     -0.01471
     0.50734     -0.03099      0.00535     -0.01616
     2.68704     -0.01186     -0.00640     -0.01584
     0.12417     -0.01064     -0.00437     -0.02607
     1.17105     -0.01214     -0.00865     -0.01422
     0.43194     -0.01154     -0.00567     -0.01656
     0.10707     -0.01147     -0.00390     -0.01683
     0.29483     -0.00787     -0.00958     -0.01970
     0.75831     -0.02008     -0.00938     -0.00795
     1.49485     -0.02538     -0.00415     -0.00283
     2.35471     -0.01088     -0.00546     -0.01416
     0.36860     -0.01450     -0.00664     -0.01770
     0.30772     -0.01992     -0.01850     -0.01080
     1.91449     -0.00309     -0.00563     -0.02863
     1.82513     -0.01290     -0.00630     -0.01312
     0.45452     -0.00803     -0.00742     -0.01749
     0.53660      0.00315     -0.00315     -0.01936
     1.93478     -0.00660     -0.01168     -0.01370
     1.02656     -0.01128     -0.00161     -0.00708
     1.31456     -0.01977     -0.00889     -0.00364
     1.87843     -0.01198     -0.00633     -0.01837
     0.19588     -0.01375     -0.00626     -0.01745
     0.20684     -0.01080     -0.00700     -0.01516
     0.27859     -0.01254     -0.00579     -0.01734
     0.09527     -0.01185     -0.00347     -0.00592
     1.36728     -0.01520     -0.01789     -0.01521
     1.48415     -0.01155     -0.00305     -0.01540
     0.42769     -0.01261     -0.00532     -0.02279
     0.74312     -0.01418     -0.00715     -0.01000
     0.86948     -0.01168     -0.00740     -0.01644
     0.16329     -0.01985     -0.00633     -0.00129
     2.10703     -0.01059     -0.00300     -0.01608
     0.44611     -0.01209     -0.00615     -0.01655
     0.03145     -0.01582     -0.00287     -0.01029
     0.99393     -0.00923     -0.00827     -0.03146
     1.84427     -0.01288     -0.00079     -0.01442
     0.72577     -0.01849     -0.01217     -0.01936
     1.10277     -0.00747     -0.01965     -0.01390
     1.77399     -0.01210     -0.00616     -0.01664
     0.02179     -0.01091     -0.00604     -0.01115
     0.70518     -0.00371     -0.01199     -0.01706
     1.25391     -0.01324     -0.00599     -0.01683
     0.13016     -0.01179     -0.00720     -0.01155
     0.65165     -0.01600     -0.00810     -0.02912
     1.59183     -0.01493     -0.00346     -0.01538
     0.50284     -0.00990     -0.00927     -0.02016
     0.62292     -0.01201     -0.00615     -0.01668
     0.02626     -0.01294     -0.00622     -0.02225
     0.67324     -0.01165     -0.00609     -0.01481
     0.24982     -0.01302     -0.00433     -0.01595
     0.26937     -0.01345     -0.00373     -0.02102
     0.61810     -0.01145     -0.00503     -0.01710
     0.17443     -0.01124     -0.00756     -0.01633
     0.20942     -0.01185     -0.00601     -0.02061
     0.46977     -0.01774     -0.00537     -0.01801
     0.69943     -0.01214     -0.01161     -0.01609
     0.66485     -0.01442     -0.01295     -0.01752
     0.87069     -0.01360     -0.00400     -0.03077
     1.73671     -0.01839     -0.00996     -0.02924
     1.75775     -0.01766     -0.00303     -0.02486
     1.25117     -0.01138     -0.00252     -0.03261
     1.98053     -0.01278     -0.00539     -0.01622
     0.14071     -0.00915     -0.00210     -0.01368
     0.72930     -0.01203     -0.00232     -0.00812
     1.15798     -0.01174     -0.00648     -0.01721
     0.08341     -0.00930     -0.00370     -0.01665
     0.46805     -0.01029      0.00325     -0.01807
     1.18774     -0.01128     -0.00700     -0.02738
     1.30167     -0.01588     -0.00304     -0.00999
     1.01911     -0.01042     -0.00578     -0.01275
     0.54037     -0.01206     -0.00510     -0.01262
     0.52591     -0.01099     -0.00612     -0.01578
     0.19186     -0.01219     -0.00604     -0.01676
     0.02100     -0.01304      0.00039     -0.01509
     0.83689     -0.01264     -0.00585     -0.01636
     0.08638     -0.01210     -0.00617     -0.01651
     0.03515     -0.01186     -0.00052     -0.02579
     1.30030     -0.01144     -0.00701     -0.01658
     0.13735     -0.01195     -0.01174     -0.01602
     0.68240     -0.01217     -0.00620     -0.01666
     0.01515     -0.01024     -0.00702     -0.02280
     0.77843     -0.00783     -0.01032     -0.02022
     0.84400     -0.01173     -0.00616     -0.01789
     0.14763     -0.01204     -0.00623     -0.01100
     0.70497     -0.02025     -0.01552     -0.02915
     2.12870     -0.01039     -0.01250     -0.01076
     1.08548     -0.01989      0.00085     -0.01178
     1.41175     -0.01103     -0.00432     -0.01663
     0.27157     -0.01627      0.00753     -0.02094
     1.81941     -0.00787     -0.00734     -0.02549
     1.19435     -0.01447     -0.00509     -0.01830
     0.36023     -0.01345     -0.00576     -0.01735
     0.17571     -0.01254     -0.00353     -0.01735
     0.33635     -0.01199     -0.00652     -0.01876
     0.24581     -0.01407     -0.00424     -0.01760
     0.34649     -0.01718     -0.00106     -0.01691
     0.87400     -0.00974     -0.00320     -0.01748
     0.48117     -0.01194     -0.00454     -0.01413
     0.38281     -0.01349     -0.00314     -0.03828
     2.64228     -0.01237     -0.00488     -0.01826
     0.24343     -0.01368     -0.00473     -0.01002
     0.86374     -0.00122     -0.00007     -0.01826
     1.54520     -0.00956     -0.00724     -0.01410
     0.47548     -0.02746     -0.00978     -0.01893
     1.92975     -0.01546     -0.00658     -0.00787
     1.15838     -0.01184     -0.00634     -0.02337
     0.80583     -0.01233     -0.00606     -0.01763
     0.10589     -0.01092     -0.00527     -0.01445
     0.34321     -0.01430     -0.00373     -0.02292
     0.84767     -0.00788     -0.00570     -0.01673
     0.53077     -0.01090     -0.00648     -0.01704
     0.16545     -0.01300     -0.00603     -0.01615
     0.12641     -0.00645     -0.00763     -0.02882
     1.63710      0.00163      0.00797     -0.01659
     2.41651     -0.01209     -0.00641     -0.01926
     0.30325     -0.01257     -0.00776     -0.00931
     0.93114     -0.01051     -0.00639     -0.00709
     1.19973     -0.01584     -0.00765     -0.02716
     1.35322     -0.01215     -0.00619     -0.01659
     0.02425     -0.01348     -0.00412     -0.01569
     0.32710     -0.01180     -0.00587     -0.01030
     0.79264     -0.01210     -0.00617     -0.02194
     0.62957     -0.01061     -0.00967     -0.01107
     0.83766     -0.01209     -0.00624     -0.01655
     0.03067     -0.01782     -0.00778     -0.01981
     0.80194     -0.01371     -0.00110     -0.01395
     0.73584     -0.01064     -0.00385     -0.01135
